nct_number,study_title,study_url,study_status,conditions,interventions,sponsor,collaborators,sex,age,phases,enrollment,study_type,start_date,completion_date,locations
NCT04118985,Compensatory Training to Support Brain Healthy Lifestyle Changes in Those at Risk for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04118985,completed,cognitive symptom|pre senile dementia|alzheimer disease,behavioral: cognitive rehabilitation and health behavior change intervention|behavioral: self-implementation,mayo clinic,,all,"adult, older_adult",,21,interventional,2019-10-10,2020-10-30,"mayo clinic, scottsdale, arizona, 85259, united states"
NCT04058886,Telephone-delivered Mindfulness Intervention for African American Dementia Caregivers,https://clinicaltrials.gov/study/NCT04058886,completed,alzheimer dementia|caregiver|dementia alzheimers,behavioral: telephone-delivered mindfulness,"university of north carolina, chapel hill",National Institute on Aging (NIA),all,"adult, older_adult",,57,interventional,2019-11-15,2022-07-06,"unc program on integrative medicine, chapel hill, north carolina, 27599-7200, united states"
NCT04308304,MK-1942/Donepezil Interactions in Participants With Alzheimer's Disease (MK-1942-005),https://clinicaltrials.gov/study/NCT04308304,completed,alzheimer's disease,drug: mk-1942|drug: donepezil|drug: placebo,merck sharp & dohme llc,,all,"adult, older_adult",PHASE1,27,interventional,2021-02-16,2022-05-18,"woodland research northwest, llc ( site 0004), rogers, arkansas, 72758-6442, united states|velocity clinical research, hallandale beach ( site 0002), hallandale beach, florida, 33009, united states|iresearch atlanta ( site 0005), decatur, georgia, 30030, united states|icon ( site 0003), salt lake city, utah, 84124, united states"
NCT02292238,Benfotiamine in Alzheimer's Disease: A Pilot Study,https://clinicaltrials.gov/study/NCT02292238,completed,alzheimer's disease,drug: benfotiamine,burke medical research institute,Burke Rehabilitation Hospital|Columbia University|National Institute on Aging (NIA)|Alzheimer's Drug Discovery Foundation|Montefiore Medical Center,all,"adult, older_adult",PHASE2,71,interventional,2015-02-15,2020-09-08,"burke, white plains, new york, 10605, united states"
NCT03548584,"A Trial to Evaluate the Safety, Efficacy, and Tolerability of Brexpiprazole in Treating Agitation Associated With Dementia of the Alzheimer's Type",https://clinicaltrials.gov/study/NCT03548584,completed,agitation associated with alzheimer's dementia|alzheimer dementia,drug: brexpiprazole|other: placebo,"otsuka pharmaceutical development & commercialization, inc.",H. Lundbeck A/S,all,"adult, older_adult",PHASE3,345,interventional,2018-05-16,2022-06-01,"for additional information regarding sites, contact 844-687-8522, los angeles, california, 90036, united states"
NCT05074498,"Study to Assess the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of TB006 in Participants With Alzheimer's Disease",https://clinicaltrials.gov/study/NCT05074498,completed,alzheimer's disease,drug: tb006|drug: placebo,"truebinding, inc.",,all,"adult, older_adult",PHASE1|PHASE2,154,interventional,2021-10-08,2022-10-13,"clinical trial site, garden grove, california, 92845, united states|clinical trial site, san diego, california, 92103, united states|clinical trial site, delray beach, florida, 33445, united states|clinical trial site, lady lake, florida, 32159, united states|clinical trial site #1, maitland, florida, 32751, united states|clinical trial site, maitland, florida, 32751, united states|clinical trial site, miami, florida, 33126, united states|clinical trial site, miami, florida, 33135, united states|clinical trial site, miami, florida, 33137, united states|clinical trial site, miami, florida, 33165, united states|clinical trial site, stuart, florida, 34997, united states|clinical trial site, west palm beach, florida, 33407, united states|clinical trial site, winter park, florida, 32789, united states|clinical trial site, winter park, florida, 32792, united states|clinical trial site, decatur, georgia, 30033, united states|clinical trial site, matthews, north carolina, 28105, united states|clinical trial site, desoto, texas, 75115, united states|clinical trial site, fairfax, virginia, 22031, united states"
NCT01703117,Riluzole in Mild Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01703117,completed,alzheimer's disease,drug: riluzole|drug: placebo,icahn school of medicine at mount sinai,Rockefeller University,all,"adult, older_adult",PHASE2,50,interventional,,2020-05-26,"icahn school of medicine at mount sinai, new york, new york, 10029, united states|the rockefeller university, new york, new york, 10065, united states"
NCT03856359,Trial of Rifaximin in Probable Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03856359,completed,alzheimer's disease,drug: rifaximin 550 milligrams (mg),duke university,"Bausch Health Americas, Inc.",all,"adult, older_adult",PHASE2,10,interventional,2019-04-09,2020-11-19,"duke university medical center, durham, north carolina, 27710, united states"
NCT02615002,Safety and Efficacy of Piromelatine in Mild Alzheimer's Disease Patients (ReCOGNITION),https://clinicaltrials.gov/study/NCT02615002,completed,alzheimer's disease,drug: piromelatine|drug: placebo,neurim pharmaceuticals ltd.,,all,"adult, older_adult",PHASE2,371,interventional,,2019-11-19,"university of alabama at birmingham, birmingham, alabama, 35233, united states|territory neurology & research institute, tucson, arizona, 85704, united states|citrials inc, bellflower, california, 90706, united states|alliance for research, long beach, california, 90807, united states|renew behavioral health, inc, long beach, california, 90807, united states|abs health llc, pomona, california, 91767, united states|anderson clinical research, redlands, california, 92374, united states|pacific research network, inc, san diego, california, 92103, united states|sharp mesa vista clinical research, san diego, california, 92123, united states|syrentis clinical research, santa ana, california, 92705, united states|research center for clinical studies, inc, norwalk, connecticut, 06851, united states|pioneer clinical research, coconut creek, florida, 33066, united states|university of miami, coral gables, florida, 33146, united states|md clinical, hallandale beach, florida, 33009, united states|new life medical research center, hialeah, florida, 33012, united states|galiz reserach, hialeah, florida, 33016, united states|biomed research institute, miami, florida, 33126, united states|miami jewish health systems, miami, florida, 33137, united states|advanced clinical research network, miami, florida, 33176, united states|medical research group of central florida inc., orange city, florida, 32763, united states|the roskamp institute, inc, sarasota, florida, 34243, united states|infinity clinical research, llc., sunrise, florida, 33351, united states|olympian clinical research, tampa, florida, 33609, united states|rowe neurology, lenexa, kansas, 66214, united states|ku school of medicine-wichita, wichita, kansas, 67214, united states|lake charles clinical trials, llc, lake charles, louisiana, 27604, united states|pharmasite research inc, baltimore, maryland, 21208, united states|quest research institute, farmington hills, michigan, 48334, united states|precise research centers, flowood, mississippi, 39232, united states|hattiesburg clinic, p.a., hattiesburg, mississippi, 39401, united states|galen research, chesterfield, missouri, 63005, united states|alzheimer's research corporation, manchester, new jersey, 08759, united states|the neurocognitive institute, llc, mount arlington, new jersey, 07856, united states|global medical institutes, princeton, new jersey, 08540, united states|neurology specialists of monmouth county, west long branch, new jersey, 07764, united states|dent neurosciences research center, inc, amherst, new york, 14226, united states|integrative clinical trials, llc, brooklyn, new york, 11229, united states|spri clinical trials, llc, brooklyn, new york, 11235, united states|manhattan behavioral medicine, pllc, new york, new york, 10022, united states|richmond behavioral associates, staten island, new york, 10312, united states|suny upstate medical university, syracuse, new york, 13210, united states|new hope clinical research, charlotte, north carolina, 28211, united states|richard h. weisler, m.d., p.a. & associates, raleigh, north carolina, 27609, united states|the ohio state university, columbus, ohio, 43221, united states|red river medical research center, oklahoma city, oklahoma, 73112, united states|tulsa clinical research, llc., tulsa, oklahoma, 74104, united states|the clinical research center llc, jenkintown, pennsylvania, 19046, united states|suburban research associates, media, pennsylvania, 19063, united states|roper st. francis healthcare, charleston, south carolina, 29401, united states|shepherd clinical research llc, lewisville, texas, 75067, united states|radiant research, san antonio, texas, 78229, united states|grayline research center, wichita falls, texas, 76309, united states|aspen clinical research, orem, utah, 84058, united states|wasatch clinical research llc, salt lake city, utah, 84107, united states|zain research, llc, richland, washington, 99352, united states|ssm health/dean medical group, madison, wisconsin, 53715, united states"
NCT02880956,A Study to Evaluate the Efficacy and Safety of ABBV-8E12 in Participants With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02880956,completed,alzheimer's disease,drug: abbv-8e12|drug: placebo for abbv-8e12,abbvie,,all,"adult, older_adult",PHASE2,453,interventional,2017-01-26,2021-07-28,"banner university of arizona medical center phoenix /id# 151536, phoenix, arizona, 85006, united states|banner sun health res inst /id# 151895, sun city, arizona, 85351, united states|irvine clinical research /id# 162331, irvine, california, 92614, united states|ucsd /id# 152467, la jolla, california, 92037, united states|ray dolby brain health center /id# 154965, san francisco, california, 94113, united states|univ california, san francisco /id# 152053, san francisco, california, 94143-2204, united states|brain matters research /id# 147796, delray beach, florida, 33445, united states|neuropsychiatric research center of southwest florida /id# 162332, fort myers, florida, 33912, united states|mayo clinic /id# 151236, jacksonville, florida, 32224, united states|synexus clinical research us, inc. /id# 147804, orlando, florida, 32806-1044, united states|university of south florida /id# 151890, tampa, florida, 33612, united states|synexus clinical research us, inc /id# 151633, the villages, florida, 32162-7116, united states|emory midtown infectious disease clinic /id# 151492, atlanta, georgia, 30322, united states|atlanta center for medical research /id# 151550, atlanta, georgia, 30331, united states|neurostudies.net, llc /id# 152746, decatur, georgia, 30030, united states|great lakes clinical trials /id# 152754, chicago, illinois, 60640, united states|advocate lutheran general hospital /id# 152052, park ridge, illinois, 60068, united states|southern il univ school of med /id# 151769, springfield, illinois, 62702, united states|indiana university /id# 151861, indianapolis, indiana, 46202, united states|university of kansas medical center - alzheimer's disease center /id# 151554, fairway, kansas, 66205, united states|university of kentucky chandler medical center /id# 152753, lexington, kentucky, 40536, united states|johns hopkins bayview med cnt /id# 151893, baltimore, maryland, 21224, united states|massachusetts general hospital /id# 151770, boston, massachusetts, 02114, united states|brigham and women's physicians /id# 151882, boston, massachusetts, 02115, united states|hattiesburg clinic /id# 202388, hattiesburg, mississippi, 39401, united states|princeton medical institute /id# 152934, princeton, new jersey, 08540, united states|scott research inc. /id# 151880, laurelton, new york, 11413, united states|north shore university hospital /id# 151632, new hyde park, new york, 11040, united states|duke cancer center /id# 147828, durham, north carolina, 27710-3000, united states|oregon health and science university /id# 151690, portland, oregon, 97239, united states|keystone clinical studies llc /id# 202305, plymouth meeting, pennsylvania, 19462, united states|rhode island hospital /id# 151538, providence, rhode island, 02903, united states|vanderbilt university medical center /id# 154547, nashville, tennessee, 37232-0011, united states|kerwin research center /id# 147815, dallas, texas, 75231-4316, united states|houston methodist hospital /id# 154810, houston, texas, 77030, united states|mcgovern medical school /id# 204860, houston, texas, 77054, united states|university of utah /id# 151858, salt lake city, utah, 84112-5500, united states|integrated neurology services /id# 154863, alexandria, virginia, 22310, united states|the kinghorn cancer centre /id# 152632, darlinghurst, new south wales, 2010, australia|griffith university /id# 152635, southport, queensland, 4222, australia|austin health /id# 152637, heidelberg, victoria, 3084, australia|the royal melbourne hospital /id# 202633, parkville, victoria, 3050, australia|australian alzheimer's res fou /id# 152634, nedlands, western australia, 6009, australia|neurodegenerative disorders research /id# 152826, west perth, western australia, 6005, australia|ucl saint-luc /id# 152847, woluwe-saint-lambert, bruxelles-capitale, 1200, belgium|universitair ziekenhuis leuven /id# 152642, leuven, vlaams-brabant, 3000, belgium|groupe sante chc - clinique du montlegia /id# 152846, liege, 4000, belgium|parkwood institute /id# 164204, london, ontario, n6c 0a7, canada|toronto memory program /id# 147863, toronto, ontario, m3b 2s7, canada|rigshospitalet /id# 153192, copenhagen ø, hovedstaden, 2100, denmark|clinical research services turku /id# 152845, turku, varsinais-suomi, 20520, finland|ita-suomen yliopisto /id# 152959, kuopio, 70210, finland|aou di modena /id# 152394, modena, emilia-romagna, 41126, italy|policlinico agostino gemelli /id# 152396, rome, lazio, 00168, italy|duplicate_aou policlinico umberto i /id# 163144, rome, lazio, 00185, italy|azienda ospedaliera di perugia /id# 152397, perugia, umbria, 06129, italy|irccs istituto centro san giovanni di dio fatebenefratelli /id# 152395, brescia, 25125, italy|asst grande ospedale metropolitano niguarda /id# 152391, milano, 20162, italy|fondazione irccs ca granda ospedale maggiore policlinico /id# 152401, milan, 20122, italy|universitair medisch centrum utrecht /id# 163576, utrecht, 3584 cx, netherlands|cgm research trust /id# 152827, burwood, 8083, new zealand|fundacion cita alzheimer fundazioa /id# 152645, donostia, pais vasco, 20009, spain|fundacio ace /id# 152643, barcelona, 08028, spain|hospital clinic de barcelona /id# 152646, barcelona, 08036, spain|hospital clinico universitario san carlos /id# 153703, madrid, 28040, spain|hospital universitario 12 de octubre /id# 152647, madrid, 28041, spain|karolinska university hospital huddinge /id# 156705, stockholm, stockholms lan, 171 77, sweden|sahlgrenska university hospital molndal /id# 154465, molndal, vastra gotalands lan, 431 80, sweden"
NCT02000583,Alzheimer's Prevention Through Exercise,https://clinicaltrials.gov/study/NCT02000583,completed,alzheimer's disease,other: aerobic exercise|other: standard of care,university of kansas medical center,National Institute on Aging (NIA),all,older_adult,,117,interventional,,2019-12-31,"university of kansas medical center, kansas city, kansas, 66160, united states"
