NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Start Date,Completion Date,Locations
NCT01723826,A Long-Term Safety Extension of Studies ABE4869g and ABE4955g in Participants With Mild to Moderate Alzheimer's Disease Treated With Crenezumab,https://clinicaltrials.gov/study/NCT01723826,COMPLETED,Alzheimer's Disease,DRUG: Crenezumab,"Genentech, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE2,360,INTERVENTIONAL,2012-12-07,2017-02-08,"Banner Alzheimer's Institute, Phoenix, Arizona, 85006, United States|Mayo Clinic, Scottsdale, Arizona, 85259, United States|Banner Sun Health Research Insitute, Sun City, Arizona, 85351, United States|Pharmacology Research Inst, Encino, California, 91316, United States|Margolin Brain Institute, Fresno, California, 93720, United States|Univ of CA San Diego; Neurosciences Comp.Alzheimer's, La Jolla, California, 92037, United States|USC School of Medicine, Los Angeles, California, 90033, United States|University of California Los Angeles (UCLA), Los Angeles, California, 90095, United States|Pharmacology Research Inst, Newport Beach, California, 92660, United States|Pacific Neuroscience Med Grp, Oxnard, California, 93030, United States|Stanford Univ Medical Center, Palo Alto, California, 94304, United States|University of California Davis Medical System, Sacramento, California, 95817, United States|Pacific Research Network - PRN, San Diego, California, 92103, United States|Uni of California San Francisco, San Francisco, California, 94117, United States|Redwood Regional Medical Group, Santa Rosa, California, 95403, United States|Yale University, New Haven, Connecticut, 06511, United States|Florida Atlantic University; College of Medicine, Boca Raton, Florida, 33431, United States|Meridien Research, Brooksville, Florida, 34601, United States|Brain Matters Research, Inc., Delray Beach, Florida, 33445, United States|Miami Jewish Health Systems; Clinical Research, Miami, Florida, 33137, United States|Collier Neurologic Specialists, Naples, Florida, 34105, United States|Bioclinica Research, Orlando, Florida, 32806, United States|Axiom Clinical Research of Florida, Tampa, Florida, 33609, United States|Premiere Research Institute, West Palm Beach, Florida, 33407, United States|Dekalb Neurology Associates, Decatur, Georgia, 30033, United States|Rush Alzheimer's Disease Cntr., Chicago, Illinois, 60612, United States|Alexian Brothers Neurosci Inst, Elk Grove Village, Illinois, 60007, United States|Indiana Univ School of Med, Indianapolis, Indiana, 46202, United States|Louisiana Research Associates, New Orleans, Louisiana, 70114, United States|Hattiesburg Clinic, Hattiesburg, Mississippi, 39401, United States|Millennium Psychiatric Associates, LLC, Saint Louis, Missouri, 63132, United States|Cleveland Clinic Lou Ruvo; Center for Brain Research, Las Vegas, Nevada, 89106, United States|Memory Enhancement Center of America, Inc., Eatontown, New Jersey, 07724, United States|NeuroCognitive Institute, Mount Arlington, New Jersey, 07856, United States|Empire Neurology, PC, Latham, New York, 12210, United States|Litwin Zucker Research Ctr.; Feinstein Inst. Med. Rsch., Manhasset, New York, 11030, United States|Columbia University Medical Center, New York, New York, 10032, United States|University of Rochester Medical Center; Monroe Community Hospital, Rochester, New York, 14627, United States|Investigational Drug Service; Univ of Rochester Medical Ctr, Rochester, New York, 14642, United States|Raleigh Neurology Associates, Raleigh, North Carolina, 27607-6520, United States|Summit Research Network Inc., Portland, Oregon, 97210, United States|The Clinical Trial Center, LLC, Jenkintown, Pennsylvania, 19046, United States|Rhode Island Mood & Memory Research Institute, East Providence, Rhode Island, 02914, United States|Butler Hospital, Providence, Rhode Island, 02906, United States|Medical Uni of South Carolina, North Charleston, South Carolina, 29425, United States|Alzheimers Disease & Memory Disorders Center; Department of Neurology Baylor College of Medicine, Houston, Texas, 77030, United States|Clinical Neuroscience Research Associates, Inc., Bennington, Vermont, 05201, United States|The Med Arts Health Rsrch Grp, Kelowna, British Columbia, V1Y 3G8, Canada|University of British Columbia Hospital; Division of Neurology, Vancouver, British Columbia, V6T 2B5, Canada|Capitol District Health Authority, Halilfax, Nova Scotia, B3H 2E1, Canada|Jbn Medical Diagnostic Services Inc., Burlington, Ontario, L7M 4Y1, Canada|Hotel Dieu Hospital, Kingston, Ontario, K7L 2V7, Canada|St. Joseph's HC-Parkwood Hosp, London, Ontario, N6C 5J1, Canada|Bruyere Continuing Care, Ottawa, Ontario, K1N 5C8, Canada|Kawartha Centre - Redefining Healthy Aging, Peterborough, Ontario, K9H 2P4, Canada|Toronto Memory Program (Neurology Research Inc.), Toronto, Ontario, M3B 2S7, Canada|Clinique Neuro Rive-Sud, Greenfield Park, Quebec, J4V 2J2, Canada|Hôpital Maisonneuve-Rosemont/Polyclinique;Recherche Clinique, Montreal, Quebec, H1T 2M4, Canada|CHAUQ Hopital Enfant-Jesus, Quebec City, Quebec, G1J 1Z4, Canada|McGill Univeristy; Douglas Mental Health University Institute; Neurological and Psychiatric, Verdun, Quebec, H4H 1R3, Canada|Hopital neurologique Pierre Wertheimer - CHU Lyon; Neurologie, Bron, 69677, France|CHU de Limoges Hopital Dupuytren; Service de Medecine Geriatrique, Limoges, 87042, France|Hopital Central; Neurologie, Nancy, 54035, France|Hopital Nord Laennec, Nantes, 44093, France|CHU de Rouen Hopital; Service de Neurologie, Rouen, 76031, France|Hôpital Civil de Strasbourg, Strasbourg, 67091, France|Univ Berlin; Klin fur Psychi & Psycho Charite, Berlin, 12203, Germany|Bezirkskrankenhaus Günzburg, Günzburg, 89312, Germany|Zentralinstitut fuer Seelische Gesundheit, Mannheim, 68159, Germany|Ludwig-Maximilians-Univ., Munchen, 81377, Germany|Klinikum rechts der Isar der Technischen Universität München, Munchen, 81675, Germany|Universitätsklinik Tübingen; Psychiatrie und Psychotherapie, Tubingen, 72076, Germany|Fundació ACE, BArcelon, Barcelona, 08034, Spain|Hospital General de Catalunya, San Cugat Del Valles, Barcelona, 08195, Spain|Policlinica Guipuzcoa, San Sebastian, Guipuzcoa, 20009, Spain|Hospital de Cruces; Servicio de Neurologia, Barakaldo, Vizcaya, 48903, Spain|Complejo Hospitalario Universitario de Albacete, Albacete, 2006, Spain|Clinica Ruber, 4 planta; Servicio de Neurologia, Madrid, 28006, Spain|The Rice Centre; Royal United Hospital, Bath, BA1 3NG, United Kingdom|West London Research Unit; Brentford Lodge, Brentford, TW8 8DS, United Kingdom|Royal Sussex County Hospital, CIRU Level 5, Brighton, BN2 5BE, United Kingdom|Glasgow Memory Clinic, Glasgow, G20 0XA, United Kingdom|The National Hospital for Neurology & Neurosurgery; Dementia Research Center, London, GT LON, WC1N 3BG, United Kingdom|Southampton General Hospital; Pharmacy, Southampton, SO16 6YD, United Kingdom|Moorgreen Hospital; Memory Assessment & Rsch Ctr, Southampton, SO30 3JB, United Kingdom|Great Western Hosp.; Kingshill Research Ctr, Swindon, SN3 6BW, United Kingdom"
NCT01224106,A Study of Gantenerumab in Participants With Prodromal Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01224106,COMPLETED,Alzheimer's Disease,DRUG: Gantenerumab|DRUG: Placebo,Hoffmann-La Roche,,ALL,"ADULT, OLDER_ADULT",PHASE3,799,INTERVENTIONAL,2010-11-30,2020-09-10,"Banner Alzheimer's Institute, Phoenix, Arizona, 85006, United States|University of California, San Diego, La Jolla, California, 92037, United States|Yale University ADRU, New Haven, Connecticut, 06510, United States|Brain Matters Research, Inc., Delray Beach, Florida, 33445, United States|Infinity Clinical Research, Hollywood, Florida, 33024, United States|Accelerated Enrollment Solutions, Orlando, Florida, 32806, United States|Roskamp Institute, Inc., Sarasota, Florida, 34243, United States|Compass Research, The Villages, Florida, 32162, United States|Premiere Research Institute, West Palm Beach, Florida, 33407, United States|Indiana University, Indianapolis, Indiana, 46202, United States|Boston Center for Memory, Newton, Massachusetts, 02459, United States|Western Michigan University Homer Stryker M.D. School of Medicine Center for Clinical Research, Kalamazoo, Michigan, 49008, United States|Neurological Research Center, Hattiesburg, Mississippi, 39401, United States|Princeton Medical Institute, Princeton, New Jersey, 08540, United States|Nathan Kline Institute, Orangeburg, New York, 10962, United States|University of Rochester Medical Center; Monroe Community Hospital, Rochester, New York, 14627, United States|Alzheimer's Memory Center, Matthews, North Carolina, 28105, United States|Oregon Health and Science University, Layton Aging and Alzheimer's Disease Center, Portland, Oregon, 97239, United States|Northeastern Pennsylvania Memory, Plains, Pennsylvania, 18705, United States|Rhode Island Mood & Memory Research Institute, East Providence, Rhode Island, 02914, United States|Butler Hospital, Providence, Rhode Island, 02906, United States|Senior Adults Specialty Research, Austin, Texas, 78757, United States|Texas Neurology PA, Dallas, Texas, 75206, United States|Clinical Neuroscience Research Associates, Inc., Bennington, Vermont, 05201, United States|Hospital Italiano, Buenos Aires, C1181ACH, Argentina|IME - Instituto Médico Especializado; Ensayos Clínicos, Buenos Aires, C1405BCH, Argentina|ALPI-Inst. de Rehabilitacion Marcelo Fitte, Buenos Aires, C1425BWO, Argentina|CEMIC, Buenos Aires, C1431FWO, Argentina|Mulieris, Caba, C1022AAO, Argentina|Instituto De Neurología Cognitiva - INECO, Caba, C1126AAB, Argentina|FLENI, Caba, C1428AQK, Argentina|Instituto Kremer, Córdoba, X5004AOA, Argentina|CENPIA; Neurología - Psicología, La Plata, B1902AJU, Argentina|Hornsby Ku-ring-gai Hospital; Division of Rehabilitation & Aged Care, Hornsby, New South Wales, 2077, Australia|Prince of Wales Hospital, Academic Department for Old Age Psychiatry, Randwick, New South Wales, 2031, Australia|Royal Adelaide Hospital; Memory Trials Centre, Adelaide, South Australia, 5000, Australia|The Queen Elizabeth Hospital; Neurology, Woodville, South Australia, 5011, Australia|Heidelberg Repatriation Hospital; Medical and Cognitive Research Centre, Heidelberg West, Victoria, 3081, Australia|Australian Alzheimer's Research Foundation, Nedlands, Western Australia, 6009, Australia|UZ Leuven Gasthuisberg, Leuven, 3000, Belgium|Hospital das Clinicas - UFPR; Ciencias da Saude, Curitiba, PR, 80060-900, Brazil|Hospital das Clinicas - UFRGS, Porto Alegre, RS, 90035-903, Brazil|Hospital Mae de Deus, Porto Alegre, RS, 90470-340, Brazil|Hospital das Clinicas - FMUSP; Psiquiatria, Sao Paulo, SP, 05403-010, Brazil|Universidade Federal de Sao Paulo - UNIFESPX; Neurologia, São Paulo, SP, 04024-002, Brazil|True North Clinical Research, New Minas, Nova Scotia, B4N 3R7, Canada|Kawartha Centre - Redefining Healthy Aging, Peterborough, Ontario, K9H 2P4, Canada|Toronto Memory Program, Toronto, Ontario, M3B 2S7, Canada|Centre for Memory and Aging, Toronto, Ontario, M4G 3E8, Canada|NeuroSearch Developpements inc, Greenfield Park, Quebec, J4V 2J2, Canada|McGill University; Sir Mortimer B Davis Jewish General Hospital; Neurological and Psychiatric, Montreal, Quebec, H3T 1E2, Canada|CHAUQ - Hôpital Enfant-Jésus, Quebec City, Quebec, G1J 1Z4, Canada|Biomedica Research Group, Santiago, 7500710, Chile|Especialidades Medicas LYS, Santiago, 7560356, Chile|St. Anne´s University Hospital; Clinical Trials Department, Brno, 656 91, Czechia|Vestra Clinics s.r.o., Rychnov nad Kneznou, 516 01, Czechia|Aarhus Universitetshospital, Neurologisk Afdeling F, Demensklinikken, Aarhus N, 8200, Denmark|Rigshospitalet, Hukommelsesklinikken, Koebenhavn Oe, 2100, Denmark|CRST Oy, Turku, 20520, Finland|Hopital Avicenne; Neurologie, Bobigny, 93009, France|Hopital Pellegrin; Cmrr Aquitaine, Bordeaux, 33076, France|Hopital Pierre Wertheimer; Laboratoire De Neuro Psychologie, Bron, 69677, France|CHU De Caen; Service De Neurologie Dejerine, Caen, 14033, France|Hopital B Roger Salengro; Cmrr Lille, Lille, 59037, France|Ch Pitie Salpetriere; Cmrr Ile De France Salpetriere, Paris, 75651, France|CHU de Rouen Hopital; Service de Neurologie, Rouen, 76031, France|Hop Guillaume Et Rene Laennec; Cmrr St Herblain, St Herblain, 44800, France|Hopital Hautepierre; Centre dInvestigation Clinique, Strasbourg, 67098, France|Hopital de La Grave, Toulouse, 31059, France|Univ Berlin; Klin fur Psychi & Psycho Charite, Berlin, 12203, Germany|Universitätsklinikum Bonn; Medizinische Klinik und Poliklinik I; Allgemeine Innere Medizin, Bonn, 53127, Germany|Klinikum Joh.Wolfg.Goethe-UNI Zentrum d. Psychiatrie Klinik f. Psychiatrie Psychosomatik, Frankfurt, 60528, Germany|PANAKEIA - Arzneimittelforschung Leipzig GmbH, Leipzig, 04275, Germany|Zentralinstitut für Seelische Gesundheit Abt.Gerontopsychiatrie, Mannheim, 68159, Germany|Pharmakologisches Studienzentrum, Mittweida, 09648, Germany|Neurologische Praxis Dr. Andrej Pauls, München, 80331, Germany|Klinikum rechts der Isar der TU München; Klinik für Psychiatrie und Psychotherapie, München, 81675, Germany|Office of Dr Klaus Steinwachs Neurology & Psychiatry, Nürnberg, 90402, Germany|Universitätsklinikum Rostock Zentrum für Nervenheilkunde, Rostock, 18147, Germany|Universitätsklinikum Ulm; Klinik für Neurologie, Ulm, 89081, Germany|Nuovo Ospedale Civile S. Agostino-Estense; Clinica Neurologica - Dipartimento di Neuroscienze, Modena, Emilia-Romagna, 41126, Italy|Universita' Di Parma Istituto Neurologia, Parma, Emilia-Romagna, 43126, Italy|Azienda Ospedaliera Spedali Civili; Scienze Neurologiche, Brescia, Lombardia, 25100, Italy|IRCCS ""Centro S. Giovanni di Dio"" Fatebenefratelli -UO Alzheimer, Brescia, Lombardia, 25125, Italy|Irccs Multimedica Santa Maria; Unita' Di Neurologia, Castellanza, Lombardia, 21053, Italy|Fondazione San Raffaele Del Monte Tabor; Dipartimento Di Neurologia, Milano, Lombardia, 20132, Italy|Azienda Ospedaliero Universitaria Ospedali Riuniti Umberto I-G.M. Lancisi-G. Salesi Di Ancona, Torrette - Ancona, Marche, 60100, Italy|Uni Di Firenze Dip. Scienze Neurol Psic Sod Neurologia 1, Firenze, Toscana, 50134, Italy|Seoul National University Bundang Hospital; Neurology Department, Gyeonggi-do, 13620, Korea, Republic of|Konkuk University Medical Center, Seoul, 05030, Korea, Republic of|Samsung Medical Center, Seoul, 06351, Korea, Republic of|Seoul St Mary's Hospital, Seoul, 06591, Korea, Republic of|Asan Medical Center., Seoul, 138-736, Korea, Republic of|Hospital Mexico Americano, Guadalajara, Mexico CITY (federal District), 44610, Mexico|Hospital Universitario; Dr. Jose E. Gonzalez, Monterrey, Nuevo LEON, 64460, Mexico|Hospital Angeles de Culiacán, Neurociencias Estudios Clínicos SC, Culiacan, 80020, Mexico|Unidad de Investigacion en Enfermedades Cronico-Degenerativa; Reumatologia, Guadalajara, 44620, Mexico|Estimulacion Magnetica Trnscraneal de Mexico SC., Mexico City, 11000, Mexico|Centro Medico San Francisco; Geriatrics, Monterrey, 64710, Mexico|Hospital Universitario de Saltillo, Saltillo, 25000, Mexico|Jeroen Bosch Ziekenhuis; Polikliniek Geriatrie, 'S Hertogenbosch, 5223 GZ, Netherlands|Brain Research Center B.V, Amsterdam, 1081 GN, Netherlands|Podlaskie Centrum Psychogeriatrii, Białystok, 15-756, Poland|PALLMED Sp. z o.o. prowadząca NZOZ DOM SUE RYDER, Bydgoszcz, 85-796, Poland|NEURO - KARD Ośrodek Badań Klinicznych, Poznań, 61-853, Poland|Przychodnia Specjalistyczna PROSEN, Warszawa, 01-231, Poland|mMED Maciej Czarnecki, Warszawa, 01-684, Poland|Hospital Prof. Dr. Fernando Fonseca; Servico de Neurologia, Amadora, 2720-276, Portugal|Hospital de Santa Maria; Servico de Neurologia, Lisboa, 1649-035, Portugal|Sverdlovsk Regional Clinical Psychoneurological War Veteran Hospital, Ekaterinburg, 620036, Russian Federation|State autonomous institution of healthcare Inter-regional clinical and diagnostic center, Kazan, 420101, Russian Federation|Saint Petersburg State Institution of Healthcare City Geriatric Medico-Social Center, Saint Petersburg, 190103, Russian Federation|City Clinical Hospital # 2 n.a. V.I. Razumovsky, Saratov, 410028, Russian Federation|Russian Medical Military Academy n.a. S.M.Kirov; Neurology Department, St. Petersburg, 194044, Russian Federation|Fundació ACE, BArcelon, Barcelona, 08034, Spain|Hospital Mutua De Terrasa; Servicio de Neurologia, Terrassa, Barcelona, 08222, Spain|Hospital de Cruces; Servicio de Neurologia, Barakaldo, Vizcaya, 48903, Spain|Hospital del Mar; Servicio de Neurologia, Barcelona, 08003, Spain|Hospital Clinic i Provincial; Servicio de Neurologia, Barcelona, 08036, Spain|Hospital de la Santa Creu i Sant Pau; Servicio de Neurologia, Barcelona, 08041, Spain|Hospital Ramon y Cajal; Servicio de Neurologia, Madrid, 28034, Spain|Hospital Universitario 12 de Octubre; Servicio de Neurologia, Madrid, 28041, Spain|Hospital Universitario La Paz; Servicio de Neurologia, Madrid, 28046, Spain|Hospital Universitario Dr. Peset; Servicio de Neurologia, Valencia, 46017, Spain|Skånes Universitetssjukhus Malmö, Minneskliniken, Malmö, 211 46, Sweden|Felix Platter-Spital Medizin Geriatrie, Basel, 4002, Switzerland|HUG; Département de santé mentale et de psychiatrie Unité de psychiatrie gériatrique, Chêne-Bourg, 1225, Switzerland|Akdeniz University School of Medicine, Neurology Department, Antalya, 07058, Turkey|Istanbul University Istanbul School of Medicine; Neurology, Istanbul, 34093, Turkey|Ondokuz Mayis University School of Medicine; Neurology, Samsun, 55239, Turkey|Addenbrooke's Hospital, Cambridge, CB2 0QQ, United Kingdom|Llandough Hospital; Llandough Hospital Memory Team 3rd Floor Academic Building, Cardiff, CF64 2XX, United Kingdom|St Margaret's Hospital, Epping, CM16 6TN, United Kingdom|Glasgow Memory Clinic, Glasgow, G20 0XA, United Kingdom|Charing Cross Hospital; Dept of Neurosciences, London, W6 8RF, United Kingdom|Campus for Ageing & Vitality; Clincal Ageing Research Unit, Newcastle, NE4 5PL, United Kingdom|Moorgreen Hospital; Memory Assessment & Rsch Ctr, Southampton, SO30 3JB, United Kingdom|Victoria Centre; Kingshill Research Centre, Swindon, SN3 6BW, United Kingdom|Hollins Park Hospital, Warrington, WA2 8WA, United Kingdom"
NCT01998841,"A Study of Crenezumab Versus Placebo in Preclinical Presenilin1 (PSEN1) E280A Mutation Carriers to Evaluate Efficacy and Safety in the Treatment of Autosomal-Dominant Alzheimer's Disease (AD), Including a Placebo-Treated Non-Carrier Cohort",https://clinicaltrials.gov/study/NCT01998841,COMPLETED,Alzheimer's Disease,DRUG: Crenezumab|DRUG: Placebo,"Genentech, Inc.",Banner Alzheimer's Institute|National Institute on Aging (NIA),ALL,ADULT,PHASE2,252,INTERVENTIONAL,2013-12-20,2023-08-08,"Fundacion Cardiomet, Armenia, Colombia|Clínica de Marly, Bogota, Colombia|Grupo Neurociencias de Antioquia, Medellin, Colombia|Hospital San Juan de Dios, Yarumal, Colombia"
NCT02016560,"Analysis of 18F-AV-1451 PET Imaging in Cognitively Healthy, MCI, and AD Subjects",https://clinicaltrials.gov/study/NCT02016560,COMPLETED,Alzheimer's Disease,DRUG: florbetapir F 18|DRUG: Flortaucipir F18|PROCEDURE: Brain PET Scan,Avid Radiopharmaceuticals,,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,383,INTERVENTIONAL,2013-12,2017-07-28,"Banner Alzheimer's Institute, Phoenix, Arizona, 85006, United States|Four Peaks Neurology, Scottsdale, Arizona, 85258, United States|Mayo Clinic, Scottsdale, Arizona, 85259, United States|Banner Sun Health Research Institute, Sun City, Arizona, 85351, United States|UC Irvine, Irvine, California, 92697, United States|Hoag Memorial, Newport Beach, California, 92663, United States|Norther California PET Imaging Center, Sacramento, California, 95816, United States|UC Davis, Sacramento, California, 95817, United States|UC San Francisco, San Francisco, California, 94158, United States|Neurological Research Institute, Santa Monica, California, 90404, United States|Molecular NeuroImaging, New Haven, Connecticut, 06510, United States|Quantum Laboratories, Deerfield Beach, Florida, 33064, United States|21st Century Oncology, Fort Myers, Florida, 33912, United States|Sandlake Imaging, Orlando, Florida, 32806, United States|Meridien Research, Saint Petersburg, Florida, 33709, United States|USF Health Byrd Alzheimer's Center, Tampa, Florida, 33613, United States|Independent Imaging, West Palm Beach, Florida, 33407, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|Boston University, Boston, Massachusetts, 02118, United States|Alzheimer's Disease Center, Quincy, Massachusetts, 02169, United States|Center for Clinical Imaging Research, Saint Louis, Missouri, 63110, United States|Las Vegas Radiology, Las Vegas, Nevada, 89147, United States|Center for Brain Health - NYU Langone Medical Center, New York, New York, 10016, United States|Duke University Medical Center, Durham, North Carolina, 27710, United States|University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|Rhode Island Hospital, Providence, Rhode Island, 02903, United States|Butler Hospital, Providence, Rhode Island, 02906, United States"
NCT02795780,Follow up 18F-AV-1451 Scan in Confirmatory Cohort Subjects From Study 18F-AV-1451-A05,https://clinicaltrials.gov/study/NCT02795780,COMPLETED,Alzheimer's Disease,DRUG: Flortaucipir F18|PROCEDURE: PET Scan,Avid Radiopharmaceuticals,,ALL,"ADULT, OLDER_ADULT",PHASE2,79,INTERVENTIONAL,2016-08,2017-08-28,"Banner Alzheimer's Institute, Phoenix, Arizona, 85006, United States|Imaging Endpoints, Scottsdale, Arizona, 85258, United States|Mayo Clinic Arizona, Scottsdale, Arizona, 85259, United States|Banner Sun Health Research Institute, Sun City, Arizona, 85351, United States|Institute for Brain Aging and Dementia, UC Irvine, Irvine, California, 92697, United States|21st Century Oncology, Newport Beach, California, 92663, United States|Alzheimer's Disease Center, UC Davis, Sacramento, California, 95817, United States|California Medical Clinic for Headache, Santa Monica, California, 90404, United States|Neuropsychiatric Research Center of Southwest Florida, Fort Myers, Florida, 33912, United States|Compass Research, LLC, Orlando, Florida, 32806, United States|Meridien Research, Saint Petersburg, Florida, 33709, United States|University of South Florida Health Byrd Alzheimer's Institute, Tampa, Florida, 33613, United States|Premiere Research Institute, West Palm Beach, Florida, 33407, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|Boston University School of Medicine, Boston, Massachusetts, 02118, United States|Washington University School of Medicine, Saint Louis, Missouri, 63110, United States|Las Vegas Radiology, Las Vegas, Nevada, 89113, United States|New York University Center for Brain Health, New York, New York, 10016, United States|Duke University Medical Center, Durham, North Carolina, 27710, United States|University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|Rhode Island Hospital, Providence, Rhode Island, 02903, United States|Butler Hospital, Providence, Rhode Island, 02906, United States"
NCT02621606,[11C]MK-6884 Positron Emission Tomography (PET) Tracer Validation Trial (MK-6884-001),https://clinicaltrials.gov/study/NCT02621606,COMPLETED,Alzheimer's Disease,DRUG: [11C]MK-6884,Merck Sharp & Dohme LLC,,ALL,"ADULT, OLDER_ADULT",PHASE1,20,INTERVENTIONAL,2016-01-08,2017-12-28,
NCT02516046,18F-AV-1451 Autopsy Study,https://clinicaltrials.gov/study/NCT02516046,COMPLETED,Alzheimer's Disease,DRUG: Flortaucipir F18|PROCEDURE: PET Scan,Avid Radiopharmaceuticals,,ALL,"ADULT, OLDER_ADULT",PHASE3,156,INTERVENTIONAL,2015-09,2018-07-15,"Banner Alzheimer's Institute, Phoenix, Arizona, 85006, United States|St. Joseph's Hospital and Medical Center, Phoenix, Arizona, 85013, United States|Cherlin Research, Los Gatos, California, 95032, United States|Hoag Memorial Hospital Presbyterian, Newport Beach, California, 92658, United States|California Research Foundation, San Diego, California, 92103, United States|Pacific Research Network, San Diego, California, 92103, United States|Ray Dolby Brain Health Center, San Francisco, California, 94114, United States|Syrentis Clinical Research, Santa Ana, California, 92705, United States|Neuropsychiatric Research Center of Southwest Florida, Fort Myers, Florida, 33912, United States|Galiz Research, Hialeah, Florida, 33016, United States|Merritt Island Medical Research, Merritt Island, Florida, 32952, United States|Miami Jewish Health Systems, Miami, Florida, 33137, United States|D de la Vega MD Research Group, Miami, Florida, 33185, United States|Bioclinica, Orlando, Florida, 32806, United States|Emory University Brain Health Center, Atlanta, Georgia, 30329, United States|Alzheimer's Disease Center, Quincy, Massachusetts, 02169, United States|Steinberg Diagnostics, Henderson, Nevada, 89052, United States|Adirondack Medical Research Center, Glens Falls, New York, 12801, United States|Clarity Clinical Research, LLC, Syracuse, New York, 13210, United States|Duke University Medical Center, Durham, North Carolina, 27710, United States|Wake Forest School of Medicine, Winston-Salem, North Carolina, 27157, United States|Valley Medical Primary Care, Centerville, Ohio, 45459, United States|Hospice of the Western Reserve, Cleveland, Ohio, 44119, United States|American Clinical Trials, LLC (Site 1216), Oklahoma City, Oklahoma, 73112, United States|Oklahoma Behavioral Health, Oklahoma City, Oklahoma, 73112, United States|Rhode Island Hospital, Providence, Rhode Island, 02903, United States|Houston Methodist Research Institute, Houston, Texas, 77030, United States|Sante Clinical Research, Kerrville, Texas, 78028, United States|Overlake Internal Medicine Associates, PS, Bellevue, Washington, 98004, United States|University of Washington Medicine, Seattle, Washington, 98104, United States|University of Melbourne, Parkville, Victoria, 3010, Australia"
NCT02471833,Health Evaluation in African Americans Using RAS Therapy,https://clinicaltrials.gov/study/NCT02471833,COMPLETED,Alzheimer's Disease,DRUG: Telmisartan 20mg|DRUG: Telmisartan 40mg|DRUG: Placebo,Emory University,National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,61,INTERVENTIONAL,2015-04,2022-04-15,"Emory University, Atlanta, Georgia, 30322, United States"
NCT02278354,Tau Imaging in Professional Fighters,https://clinicaltrials.gov/study/NCT02278354,COMPLETED,Alzheimer's Disease,DRUG: Flortaucipir F18|PROCEDURE: Brain PET scan,Avid Radiopharmaceuticals,The Cleveland Clinic,MALE,"ADULT, OLDER_ADULT",PHASE1,35,INTERVENTIONAL,2015-02-18,2017-02-03,"Cleveland Clinic Lou Ruvo Center for Brain Health, Las Vegas, Nevada, 89106, United States"
NCT01993836,Markers of Alzheimers Disease and Cognitive Outcomes After Perioperative Care,https://clinicaltrials.gov/study/NCT01993836,COMPLETED,Alzheimers Disease|Postoperative Delirium|Post Operative Cognitive Dysfunction,DRUG: Total intravenous anesthesia with propofol|DRUG: General anesthesia with isoflurane,Duke University,,ALL,"ADULT, OLDER_ADULT",PHASE4,191,INTERVENTIONAL,2013-11,2019-01-10,"Duke University Medical Center, Durham, North Carolina, 27710, United States"
